Name,ID,Alias,Language
Verizon,792,Verizon Communications Inc.,
Bmw,783,bayerische motoren werke,de
C. H. Robinson Worldwide,2239,c.h. robinson,en
C. H. Robinson Worldwide,2239,"c.h. robinson worldwide, inc.",en
C. H. Robinson Worldwide,2239,ch robinson worldwide inc,en
Kraft Heinz,2161,The Kraft Heinz Company,en
Kraft Heinz,2161,Kraft Foods,en
Fastenal,2316,fastenal,en
Fastenal,2316,fastenal company,en
Kaiser Permanente,533,Kaiser Foundation Hospitals,en
Kaiser Permanente,533,Kaiser Foundation Health Plan,en
Kaiser Permanente,533,Permanente Health Plan,en
Splunk,237,"splunk, inc",en
Splunk,237,splunk inc,en
Splunk,237,"splunk, inc.",en
Kroger,1813,The Kroger Co.,en
Old Dominion Freight Line,2444,"old dominion freight line, inc. (nasdaq: odfl)",en
Old Dominion Freight Line,2444,odfl,en
Old Dominion Freight Line,2444,"old dominion freight line, inc.",en
Spotify,844,Spotify Technology S.A.,en
Zillow,780,zillow group,en
Zillow,780,zillow group inc,en
Zillow,780,"zillow, inc.",en
3M,298,minnesota mining and manufacturing company,en
3M,298,3m co,en
Cadence Design Systems,2241,cadence design systems inc,en
Cadence Design Systems,2241,"cadence design systems, inc.",en
Cadence Design Systems,2241,"cadence design systems, inc",en
Omnicom Group,2445,omnicom group (nyse: omc),en
Omnicom Group,2445,omnicom,en
Omnicom Group,2445,omnicom group inc. (nyse: omc),en
Omnicom Group,2445,omnicom group inc.,en
Omnicom Group,2445,omnicom group inc,en
Zimmer Biomet,2552,zimmer biomet ,en
Zimmer Biomet,2552,"zimmer biomet holdings, inc.",en
Lenovo,936,Lenovo Corporation,en
Lenovo,936,Lenovo Group Ltd.,en
Lenovo,936,Lianxiang Jituan,en
Federal Realty Investment Trust,2317,federal realty,en
Zions Bancorp,2553,"zions bancorporation, national association",en
Zions Bancorp,2553,keystone insurance and investment co,en
Zions Bancorp,2553,zions bank,en
Zions Bancorp,2553,zions bancorporation,en
Zions Bancorp,2553,"zions bancorporation, n.a.",en
4Thparadigm,3,4paradigm,en
4Thparadigm,3,"beijing wusi chuangxiang technology co., ltd.",en
Cambricon,52,cambricon technologies corp ltd,en
Cambricon,52,hanwuji keji,en
Cambricon,52,beijing zhongke cambricon technologies corp ltd,en
Cambricon,52,cambricon technologies,en
Cambricon,52,cambricon technologies corporation limited,en
Campbell Soup,2242,campbell's,en
Campbell Soup,2242,campbell soup company,en
Campbell Soup,2242,campbell,en
Campbell Soup,2242,campbell soup co,en
Fedex,1891,fedex,en
Fedex,1891,fedex corporation,en
Stanley Black & Decker,2495,"stanley black & decker, inc.",en
Stanley Black & Decker,2495,the stanley works,en
Zoetis,2554,zoetis inc,en
Zoetis,2554,pfizer,en
Capital One,371,capital one financial corp,en
Capital One,371,capital one financial corporation,en
Kellogg,2381,kellogg company,en
Kellogg,2381,kellogg's,en
Oneok,2446,"oneok, inc. (nyse: oke)",en
Oneok,2446,"oneok, inc.",en
Oneok,2446,oneok inc,en
Starbucks,2496,starbucks,en
Starbucks,2496,starbucks corporation,en
Starbucks,2496,starbucks coffee company,en
Capri Holdings,2243,capri holdings ltd.,en
Capri Holdings,2243,michael kors holdings limited,en
Capri Holdings,2243,capri holdings limited,en
Capri Holdings,2243,michael kors holdings,en
State Street,2497,state street corporation,en
State Street,2497,state street,en
ZTE,289,zte corporation,en
ZTE,289,zte corp,en
Fidelity National Information Services,2318,fis,en
Fidelity National Information Services,2318,fidelity national information services inc,en
Keysight Technologies,2383,keysight technologies inc.,en
Keysight Technologies,2383,keysight,en
Zymergen,290,"zymergen, inc.",en
Zymergen,290,zymergen bioinformatics,en
Zymergen,290,zymergen inc,en
Zymergen,290,"zymergen, inc",en
A.O. Smith,2217,a. o. smith,en
A.O. Smith,2217,a. o. smith corporation,en
Fifth Third Bancorp,2319,"fifth third bank, national association.",en
Fifth Third Bancorp,2319,fifth third bank,en
Kimberly-Clark,2384,kimberly-clark corporation,en
Kimberly-Clark,2384,kimberly-clark corp,en
Lowe's,1876,"Lowe's Companies, Inc.",en
Cardinal Health,1807,cardinal health,en
Cardinal Health,1807,"cardinal health, inc.",en
Kimco Realty,2385,kimco realty corporation,en
Kimco Realty,2385,kimco realty corp,en
Steris,2498,steris,en
Steris,2498,steris corp,en
Steris,2498,steris corporation,en
Carmax,2245,"carmax business services, llc",en
Carmax,2245,carmax,en
Kinder Morgan,2386,"kinder morgan, inc",en
Kinder Morgan,2386,kinder morgan inc,en
Kinder Morgan,2386,"kinder morgan, inc.",en
Abbott,1515,Abbott Laboratories,en
LVMH Moet Hennessy-Louis Vuitton,3097,LVMH Moët Hennessy Louis Vuitton S.E.,en
Carnival,2246,carnival corp,en
Carnival,2246,carnival corporation,en
Carnival,2246,carnival corporation & plc,en
First Republic Bank,2321,first republic,en
AbbVie,2083,AbbVie Inc.,en
Macy's,2176,"Federated Department Stores, Inc.",en
Macy's,2176,"Macys.com, LLC",en
Carrier Global,2247,carrier global corp,en
Carrier Global,2247,carrier corporation,en
Firstenergy,2320,firstenergy,en
Stryker,2499,stryker,en
Stryker,2499,"stryker iberia, sl",en
Fiserv,2322,"fiserv, inc.",en
Fiserv,2322,fiserv,en
Oracle,617,oracle corporation,en
Oracle,617,oracle corp,en
