Name,ID,Identifier,Type
AI21 Labs,6910,\bai21 labs\b,Regex
AI21 Labs,6910,https://permid.org/1-5079548078,PermID
AI21 Labs,6910,https://www.linkedin.com/company/ai21/,LinkedIn
AI21 Labs,6910,https://www.crunchbase.com/organization/ai21,Crunchbase URL
Mistral,6921,https://ror.org/05w9p7918,ROR
Mistral,6921,mistral.ai,Regex
Mistral,6921,https://permid.org/1-5086603354,PermID
Mistral,6921,https://www.linkedin.com/company/mistralai/,LinkedIn
Mistral,6921,https://www.crunchbase.com/organization/mistral-ai,Crunchbase URL
Synthesia,6908,\bsynthesia (limited|ltd)\b,Regex
Synthesia,6908,https://permid.org/1-5068778567,PermID
Synthesia,6908,https://www.linkedin.com/company/synthesia-technologies/,LinkedIn
Synthesia,6908,https://www.crunchbase.com/organization/synthesia,Crunchbase URL
Stability AI,6902,\bstability ?ai\b,Regex
Stability AI,6902,https://permid.org/1-5081003049,PermID
Stability AI,6902,https://www.linkedin.com/company/stability-ai/,LinkedIn
Stability AI,6902,https://www.crunchbase.com/organization/stability-ai,Crunchbase URL
Johnson Controls,2100,684417,BGOV
Johnson Controls,2100,10642099,BGOV
Johnson Controls,2100,grid.467448.d,GRID
Johnson Controls,2100,grid.473171.7,GRID
Johnson Controls,2100,grid.485759.2,GRID
Johnson Controls,2100,grid.481673.f,GRID
Johnson Controls,2100,grid.480576.8,GRID
Johnson Controls,2100,grid.473026.4,GRID
Johnson Controls,2100,grid.474796.f,GRID
Johnson Controls,2100,grid.481549.5,GRID
Johnson Controls,2100,grid.474497.d,GRID
Johnson Controls,2100,\bjohnson\s+controls\s+international\s+plc\b|\bjohnson\s+controls\b|(^|\^)jci($|\^)|\bjohnson\s+controls\s+international\s+plc\b,Regex
Johnson Controls,2100,5043315501,PermID
Johnson Controls,2100,https://www.linkedin.com/company/johnson-controls,LinkedIn
Johnson Controls,2100,https://www.crunchbase.com/organization/johnson-controls,Crunchbase URL
Johnson Controls,2100,4b0e6b76-e58a-c010-f690-f7996ba1ffaf,Crunchbase UUID
CoStar Group,6951,^CoStar\sGroup(?:\sInc)?\b,Regex
CoStar Group,6951,https://permid.org/1-4295912984,PermID
CoStar Group,6951,https://www.linkedin.com/company/costar-group/,LinkedIn
CoStar Group,6951,https://www.crunchbase.com/organization/costar-group,Crunchbase URL
Principal Financial Group,2462,10562451,BGOV
Principal Financial Group,2462,\bprincipal\s+financial\s+group\s+inc\b|\bprincipal\s+financial\s+services.?\s+inc.?\b|\bprincipal\s+financial\s+group\b,Regex
Principal Financial Group,2462,4295901744,PermID
Principal Financial Group,2462,https://www.linkedin.com/company/principalfinancialgroup,LinkedIn
Principal Financial Group,2462,https://www.crunchbase.com/organization/principal-financial-group,Crunchbase URL
Principal Financial Group,2462,82f9cda0-bec2-957a-25e9-2b9bbbd279b6,Crunchbase UUID
Steris,2498,11348079,BGOV
Steris,2498,grid.419660.c,GRID
Steris,2498,grid.473064.2,GRID
Steris,2498,grid.481863.0,GRID
Steris,2498,\bsteris\s+corporation\b|\bsteris\s\W|\bsteris\s+corp\b|\bsteris\s+plc\b,Regex
Steris,2498,4295904987,PermID
Steris,2498,https://www.linkedin.com/company/steris-corporation,LinkedIn
Steris,2498,https://www.crunchbase.com/organization/steris-corporation,Crunchbase URL
Steris,2498,c6430108-4e0d-e78e-d57a-4d484fd2cc78,Crunchbase UUID
Progressive,2093,grid.432606.5,GRID
Progressive,2093,\bProgressive\s+Insurance\b|\bProgressive\s+Corporation\b,Regex
Progressive,2093,4295904769,PermID
Progressive,2093,https://www.linkedin.com/company/progressive-insurance,LinkedIn
Progressive,2093,https://www.crunchbase.com/organization/progressive-commercial,Crunchbase URL
Progressive,2093, 90d22683-5978-4c17-948e-4e7e4baff7cd,Crunchbase UUID
Nordson Corporation,6974,https://ror.org/017zzp047,ROR
Nordson Corporation,6974,https://ror.org/02vq92e47,ROR
Nordson Corporation,6974,https://ror.org/03m1q4162,ROR
Nordson Corporation,6974,^nordson,Regex
Nordson Corporation,6974,https://permid.org/1-4295907402,PermID
Nordson Corporation,6974,https://www.linkedin.com/company/nordson-corporation/,LinkedIn
Nordson Corporation,6974,https://www.crunchbase.com/organization/nordson,Crunchbase URL
Cincinnati Financial,2258,\bcincinnati\s+financial\s+corp\b|\bcincinnati\s+financial\s+corporation\b|\bthe\s+cincinnati\s+insurance\s+companies\b|\bcincinnati\s+financial\b,Regex
Cincinnati Financial,2258,4295905949,PermID
Cincinnati Financial,2258,https://www.linkedin.com/company/the-cincinnati-insurance-companies,LinkedIn
Cincinnati Financial,2258,https://www.crunchbase.com/organization/cincinnati-financial,Crunchbase URL
Cincinnati Financial,2258,d8fc3281-96a0-8a77-8830-6935db85864d,Crunchbase UUID
Firstenergy,2320,683005,BGOV
Firstenergy,2320,(^|\^)firstenergy\s+corporation\b|\bfirstenergy\s+corp\b|(^|\^)firstenergy($|\^),Regex
Firstenergy,2320,4295903132,PermID
Firstenergy,2320,https://www.linkedin.com/company/firstenergy-corp,LinkedIn
Firstenergy,2320,https://www.crunchbase.com/organization/firstenergy-corp,Crunchbase URL
Firstenergy,2320,6d987ad4-8b99-dc4f-fccf-c44d1fa66c1d,Crunchbase UUID
Marathon Petroleum,1826,10712307,BGOV
Marathon Petroleum,1826,898161,BGOV
Marathon Petroleum,1826,(^|\^)mpc($|\^)|\bmarathon\s+petroleum\b|\bmarathon\s+petroleum\s+corporation\b|\bmarathon\s+petroleum\s+corp\b,Regex
Marathon Petroleum,1826,5001438555,PermID
Marathon Petroleum,1826,https://www.linkedin.com/company/marathon-petroleum-company,LinkedIn
Marathon Petroleum,1826,https://www.crunchbase.com/organization/marathon-petroleum,Crunchbase URL
Marathon Petroleum,1826,3e98fae6-be2f-d4f4-9c49-b72c1731b965,Crunchbase UUID
GE Aerospace,6960,\bge aerospace|\bgeneral electric\b,Regex
GE Aerospace,6960,https://permid.org/1-4295903128,PermID
GE Aerospace,6960,https://www.linkedin.com/company/ge,LinkedIn
GE Aerospace,6960,https://www.linkedin.com/company/geaerospace/,LinkedIn
GE Aerospace,6960,https://www.crunchbase.com/organization/general-electric,Crunchbase URL
GE Aerospace,6960,https://www.crunchbase.com/organization/ge-aerospace,Crunchbase URL
Avery Dennison,2227,10787313,BGOV
Avery Dennison,2227,672694,BGOV
Avery Dennison,2227,899214,BGOV
Avery Dennison,2227,grid.471121.0,GRID
