Name,ID,Ticker,Exchange
Johnson Controls,2100,JCI,NYSE
CoStar Group,6951,CSGP,NASDAQ
Principal Financial Group,2462,PFG,NASDAQ
Steris,2498,STE,NYSE
Progressive,2093,PGR,NYSE
Nordson Corporation,6974,NDSN,NASDAQ
Cincinnati Financial,2258,CINF,NASDAQ
Firstenergy,2320,FE,NYSE
Marathon Petroleum,1826,MPC,NYSE
GE Aerospace,6960,GE,NYSE
Avery Dennison,2227,AVY,NYSE
J.M. Smucker,2378,SJM,NYSE
Welltower,2538,WELL,NYSE
Extra Space Storage,2314,EXR,NYSE
Zions Bancorp,2553,ZION,NASDAQ
Zions Bancorp,2553,ZIONL,NASDAQ
Zions Bancorp,2553,ZIONO,NASDAQ
Zions Bancorp,2553,ZIONP,NASDAQ
IFlyTek,122,2230,SZSE
Micron Technology,2107,MU,NASDAQ
Lamb Weston Holdings,2392,LW,NYSE
Idexx Laboratories,2363,IDXX,NASDAQ
Diamondback Energy,2284,FANG,NASDAQ
Globe Life,2340,GL,NYSE
Tyler Technologies,3093,TYL,NYSE
Charles Schwab Corporation,2255,SCHW,NYSE
Charles Schwab Corporation,2255,SCHW.PRD,NYSE
Charles Schwab Corporation,2255,SCHW.PRJ,NYSE
American Airlines Group,1978,AAL,NASDAQ
Valero Energy,1821,VLO,NYSE
Lululemon Athletica,6970,LULU,NASDAQ
Garmin,2335,GRMN,NYSE
Caesars Entertainment,6945,CZR,NASDAQ
Nike,830,NKE,NYSE
Ameren,2208,AEE,NYSE
Regions Financial,2475,RF,NYSE
Regions Financial,2475,RF.PRB,NYSE
Regions Financial,2475,RF.PRC,NYSE
Regions Financial,2475,RF.PRE,NYSE
Vulcan Materials,2532,VMC,NYSE
Canadian Pacific,3160,CP,NYSE
Axon Enterprise,6939,AXON,NASDAQ
Microchip Technology,2415,MCHP,NASDAQ
Arch Capital Group,6938,ACGL,NASDAQ
Everest Re,2312,RE,NYSE
Nextera Energy,2432,NEE,NYSE
Nextera Energy,2432,NEE.PRO,NYSE
Nextera Energy,2432,NEE.PRP,NYSE
Nextera Energy,2432,NEE.PRQ,NYSE
Brown & Brown,6943,BRO,NYSE
Roper Technologies,2481,ROP,NYSE
Jabil,3123,JBL,NYSE
Carrier Global,2247,CARR,NYSE
Raymond James Financial,2472,RJF,NYSE
Mosaic Company,2421,MOS,NYSE
SBA Communications,2484,SBAC,NASDAQ
Darden Restaurants,2280,DRI,NYSE
L3Harris Technologies,480,LHX,NYSE
Mohawk Industries,2417,MHK,NYSE
Fleetcor Technologies,2323,FLT,NYSE
Nisource,2433,NI,NYSE
Nisource,2433,NIMC,NYSE
Nisource,2433,NI.PRB,NYSE
Steel Dynamics,6980,STLD,NASDAQ
Zimmer Biomet,2552,ZBH,NYSE
Fair Isaac,6957,FICO,NYSE
Nokia,949,NOK,NYSE
Walmart,793,WMT,NYSE
J. B. Hunt Transport Services,2377,JBHT,NASDAQ
Tyson Foods,2018,TSN,NYSE
Woodward,2826,WWD,NASDAQ
Dish Network,2288,DISH,NASDAQ
UDR,2515,UDR,NYSE
Trimble,6983,TRMB,NASDAQ
Ball,2228,BLL,NYSE
Maxar Technologies,802,MAXR,NYSE
Zebra Technologies,2551,ZBRA,NASDAQ
Discover Financial Services,835,DFS,NYSE
Dover Corporation,2291,DOV,NYSE
Allstate,2019,ALL,NYSE
Allstate,2019,ALL PR B,NYSE
Allstate,2019,ALL PR G,NYSE
Allstate,2019,ALL PR H,NYSE
Allstate,2019,ALL PR I,NYSE
CDW,2250,CDW,NASDAQ
AbbVie,2083,ABBV,NYSE
Arthur J. Gallagher & Co.,2221,AJG,NYSE
Ulta Beauty,2516,ULTA,NASDAQ
Illinois Tool Works,2365,ITW,NYSE
Abbott,1515,ABT,NYSE
Deere,2037,DE,NYSE
Federal Realty Investment Trust,2317,FRT,NYSE
Ford Motor Company,456,F,NYSE
Domino's Pizza,3089,DPZ,NYSE
Kellogg,2381,K,NYSE
DTE Energy,2293,DTE,NYSE
Whirlpool,2543,WHR,NYSE
Stryker,2499,SYK,NYSE
General Motors,820,GM,NYSE
Masco,2408,MAS,NYSE
Dow,2292,DOW,NYSE
Borgwarner,2233,BWA,NYSE
Centene,1905,CNC,NYSE
Emerson Electric Company,2302,EMR,NYSE
Jack Henry & Associates,2375,JKHY,NASDAQ
O'Reilly Automotive,2442,ORLY,NASDAQ
Bunge,1969,BG,NYSE
Berkshire Hathaway,1792,BRK.A,NYSE
Berkshire Hathaway,1792,BRK.B,NYSE
Union Pacific,2519,UNP,NYSE
Mastercard,2409,MA,NYSE
Constellation Brands,2270,STZ,NYSE
Constellation Brands,2270,STZ.B,NYSE
Henry Schein,2351,HSIC,NASDAQ
Kimco Realty,2385,KIM,NYSE
Paychex,2451,PAYX,NASDAQ
M&T Bank,2402,MTB,NYSE
Vici Properties,6985,VICI,NYSE
Xylem,2549,XYL,NYSE
IBM,115,IBM,NYSE
Broadridge Financial Solutions,2237,BR,NYSE
Blackstone,6942,BX,NYSE
PepsiCo,1893,PEP,NASDAQ
Corning Incorporated,399,GLW,NYSE
Regeneron Pharmaceuticals,1577,REGN,NASDAQ
Paycom,2452,PAYC,NYSE
Devon Energy,2283,DVN,NYSE
Northrop Grumman,599,NOC,NYSE
DXC Technology,2296,DXC,NYSE
Huntington Ingalls Industries,2361,HII,NYSE
Dollar Tree,2289,DLTR,NASDAQ
Ehang,83,EH,NASDAQ
Lumen Technologies,2253,LUMN,NYSE
Pool Corporation,3091,POOL,NASDAQ
Entergy,2303,ETR,NYSE
Hormel Foods,2357,HRL,NYSE
C. H. Robinson Worldwide,2239,CHRW,NASDAQ
Fastenal,2316,FAST,NASDAQ
Best Buy,1995,BBY,NYSE
UnitedHealth Group,818,UNH,NYSE
Unum Group,2523,UNM,NYSE
Unum Group,2523,UNMA,NYSE
HCA Healthcare,1963,HCA,NYSE
Dollar General,2178,DG,NYSE
Eastman Chemical,2298,EMN,NYSE
Tractor Supply Company,2511,TSCO,NASDAQ
Fiserv,2322,FISV,NASDAQ
Generac,6964,GNRC,NYSE
Alliant Energy,2205,LNT,NASDAQ
Snap-On,2492,SNA,NYSE
Kohl's,2387,KSS,NYSE
Public Storage,2465,PSA,NYSE
Public Storage,2465,PSA.PRG,NYSE
Public Storage,2465,PSA.PRH,NYSE
Public Storage,2465,PSA.PRI,NYSE
Public Storage,2465,PSA.PRJ,NYSE
Public Storage,2465,PSA.PRK,NYSE
Public Storage,2465,PSA.PRL,NYSE
Public Storage,2465,PSA.PRM,NYSE
Public Storage,2465,PSA.PRN,NYSE
Public Storage,2465,PSA.PRO,NYSE
Public Storage,2465,PSA.PRP,NYSE
Public Storage,2465,PSA.PRQ,NYSE
Public Storage,2465,PSA.PRR,NYSE
Public Storage,2465,PSA.PRS,NYSE
Molina Healthcare,6972,MOH,NYSE
Edison International,2300,EIX,NYSE
Bio-Rad Laboratories,3086,BIO,NYSE
Bio-Rad Laboratories,3086,BIO.B,NYSE
Lam Research,2391,LRCX,NASDAQ
Chipotle Mexican Grill,2256,CMG,NYSE
Live Nation Entertainment,2398,LYV,NYSE
Disney,1383,DIS,NYSE
Enphase Energy,3161,ENPH,NASDAQ
Equinix,2306,EQIX,NASDAQ
Electronic Arts,1671,EA,NASDAQ
Cooper Companies,2271,COO,NYSE
Deckers Brands,6953,DECK,NYSE
Teledyne Technologies,2819,TDY,NYSE
Keysight Technologies,2383,KEYS,NYSE
Clorox Company,2262,CLX,NYSE
Netflix,176,NFLX,NASDAQ
Seagate Technology,2485,STX,NASDAQ
Chevron,1617,CVX,NYSE
KLA-Tencor,1707,KLAC,NASDAQ
Amgen,1570,4332,HKG
Amgen,1570,AMGN,NASDAQ
Autodesk,345,ADSK,NASDAQ
Alexandria Real Estate Equities,2199,ARE,NYSE
Apple,27,AAPL,NASDAQ
Snap,694,SNAP,NYSE
Monster Beverage,2419,MNST,NASDAQ
Genentech,465,DNA,NYSE
Gilead Sciences,2339,GILD,NASDAQ
Oracle,617,ORCL,NYSE
American Water Works,2211,AWK,NYSE
Church & Dwight,2257,CHD,NYSE
Catalent,3087,CTLT,NYSE
Bristol-Myers Squibb,1395,BMY,NYSE
Bristol-Myers Squibb,1395,CELG RT,NYSE
Prudential Financial,1895,PFH,NYSE
Prudential Financial,1895,PRS,NYSE
Prudential Financial,1895,PRU,NYSE
Merck,1492,MRK,NYSE
Quest Diagnostics,2470,DGX,NYSE
Kenvue,6968,KVUE,NYSE
Verisk Analytics,2528,VRSK,NASDAQ
Becton Dickinson,2231,BDX,NYSE
Becton Dickinson,2231,BDXB,NYSE
Campbell Soup,2242,CPB,NYSE
Johnson & Johnson,842,JNJ,NYSE
Zoetis,2554,ZTS,NYSE
Automatic Data Processing,2224,ADP,NASDAQ
PSEG,2464,PEG,NYSE
Cognizant,806,CTSH,NASDAQ
T-Mobile,831,TMUS,NASDAQ
Microsoft,163,4338,HKG
Microsoft,163,MSFT,NASDAQ
Costco Wholesale,1805,COST,NASDAQ
Monolithic Power Systems,6973,MPWR,NASDAQ
Fortive,2328,FTV,NYSE
Paccar,2448,PCAR,NASDAQ
Alaska Air Group,2197,ALK,NYSE
Hartford Financial Services,2347,HIG,NYSE
Hubbell Incorporated,6986,HUBB,NYSE
IQVIA,516,IQV,NYSE
W. R. Berkley Corporation,2533,WRB,NYSE
W. R. Berkley Corporation,2533,WRB.PRE,NYSE
W. R. Berkley Corporation,2533,WRB.PRF,NYSE
W. R. Berkley Corporation,2533,WRB.PRG,NYSE
W. R. Berkley Corporation,2533,WRB.PRH,NYSE
Otis Worldwide,2447,OTIS,NYSE
Cigna,1953,CI,NYSE
Stanley Black & Decker,2495,SWK,NYSE
Stanley Black & Decker,2495,SWT,NYSE
Amphenol,2214,APH,NYSE
Aetna,308,AET,NYSE
Leggett & Platt,2394,LEG,NYSE
CMS Energy,2264,CMS,NYSE
CMS Energy,2264,CMSA,NYSE
CMS Energy,2264,CMSC,NYSE
CMS Energy,2264,CMSD,NYSE
CMS Energy,2264,CMS.PRC,NYSE
FMC Corporation,2326,FMC,NYSE
Hershey Company,2352,HSY,NYSE
Comcast,396,CCZ,NYSE
Comcast,396,CMCSA,NASDAQ
PPL,2461,PPL,NYSE
Ansys,2215,ANSS,NASDAQ
Ametek,2213,AME,NYSE
EPAM Systems,6954,EPAM,NYSE
Viatris,3094,VTRS,NASDAQ
Air Products & Chemicals,2196,APD,NYSE
Cencora,1803,ABC,NYSE
Universal Health Services,2522,UHS,NYSE
West Pharmaceutical Services,3095,WST,NYSE
Teleflex,2507,TFX,NYSE
Hasbro,2348,HAS,NASDAQ
Textron,2508,TXT,NYSE
Citizens Financial Group,2260,CFG,NYSE
